ISO3,Pays,rowcacode1,Région
NER,NIGER,NER001,AGADEZ
NER,NIGER,NER002,DIFFA
NER,NIGER,NER003,DOSSO
NER,NIGER,NER004,MARADI
NER,NIGER,NER005,TAHOUA
NER,NIGER,NER006,TILLABERI
NER,NIGER,NER007,ZINDER
NER,NIGER,NER008,NIAMEY
