admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin3Name_en,admin3Name_ar,admin3Pcode,admin4Name_en,admin4Name_ar,admin4Pcode,areaName_en,areaName_ar,areaPcode,neibourhoodName_en,neibourhoodName_ar,neibourhoodPcode,neibourhoodRefName_en,neibourhoodRefName_ar,neibourhoodAltName1_en,neibourhoodAltName1_ar,neibourhoodAltName2_en,neibourhoodAltName2_ar,LastUpdateDate,validOn,validTo,neibourhoodPreviuosPcode
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Mazzeh,المزة,A009,Soumariyyeh,السومرية,N0088,Soumariyyeh,السومرية,,,,,2016-09-05,,,SY0100038
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Burza,برزة,A003,Masakin Barza,مساكن برزة,N0008,Masakin Barza,مساكن برزة,,,,,2016-09-05,,,SY0100041
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Burza,برزة,A003,Al Abbas,العباس,N0005,Al Abbas,العباس,,,,,2016-09-05,,,SY0100042
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Burza,برزة,A003,Al Manara,المنارة,N0003,Al Manara,المنارة,,,,,2016-09-05,,,SY0100043
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Burza,برزة,A003,Barza Al Balad,برزة البلد,N0002,Barza Al Balad,برزة البلد,,,,,2016-09-05,,,SY0100044
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Burza,برزة,A003,Al Hurriya_ Ish Al Werwer,الحرية_ عش الورور,N0001,Al Hurriya _Ish Al Werwer,الحرية_ عش الورور,,,,,2016-09-05,,,SY0100045
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Burza,برزة,A003,Nuzha,النزهة,N0015,Nuzha (Damascus),النزهة - دمشق,,,,,2016-09-05,,,SY0100046
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Jowbar,جوبر,A008,Ma'amouniyyeh,المأمونية,N0032,Maamouniyyeh,المأمونية,,,,,2016-09-05,,,SY0100051
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Jowbar,جوبر,A008,Al Istiqlal,الاستقلال,N0051,Al Istiqlal,الاستقلال - دمشق,,,,,2016-09-05,,,SY0100054
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Saroujah,ساروجا,A007,Saroujah,ساروجا,N0040,Saroujah,ساروجا,,,,,2016-09-05,,,SY0100061
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Saroujah,ساروجا,A007,Oqaiba,العقيبة,N0039,Oqaiba,العقيبة,,,,,2016-09-05,,,SY0100062
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Saroujah,ساروجا,A007,Al 'Adwi,العدوي,N0029,Al Adwi,العدوي,,,,,2016-09-05,,,SY0100063
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Saroujah,ساروجا,A007,Masjid Aqsab,مسجد أقصاب,N0038,Masjid Aqsab,مسجد أقصاب,,,,,2016-09-05,,,SY0100064
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Saroujah,ساروجا,A007,Al Qusa',القصاع,N0034,Al Qusa,القصاع,,,,,2016-09-05,,,SY0100065
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Yarmuk,اليرموك,C1002,El Faloujeh,الفالوجة,,El Faloujeh,الفالوجة,N0111,El Faloujeh,الفالوجة,,,,,2016-09-05,,,SY01010101
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Yarmuk,اليرموك,C1002,El Kermel,الكرمل,,El Kermel,الكرمل,N0109,El Kermel,الكرمل,,,,,2016-09-05,,,SY01010101
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Saroujah,ساروجا,A007,Al Qusur,القصور,N0026,Al Qusur,القصور - دمشق,,,,,2016-09-05,,,SY0100066
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Saroujah,ساروجا,A007,Faris Al Khouri,فارس الخوري,N0018,Faris Al Khouri,فارس الخوري,,,,,2016-09-05,,,SY0100067
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Saroujah,ساروجا,A007,Amara Baraniyyeh,العمارة البرانية,N0041,Amara Baraniyyeh,العمارة البرانية,,,,,2016-09-05,,,SY0100068
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Old Damascus,دمشق القديمة,A011,Hariqa,الحريقة,N0050,Hariqa,الحريقة,,,,,2016-09-05,,,SY0100071
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Old Damascus,دمشق القديمة,A011,Shaghour Jowani,شاغور جواني,N0054,Shaghour Jowani,شاغور جواني,,,,,2016-09-05,,,SY0100072
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Old Damascus,دمشق القديمة,A011,Hameidiyyeh,الحميدية,N0045,Hameidiyyeh (Damascus),الحميدية - دمشق,,,,,2016-09-05,,,SY0100073
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Old Damascus,دمشق القديمة,A011,Ma'azanet Ash Shahm,مأذنة الشحم,N0055,Maazanet Ash Shahm,مأذنة الشحم,,,,,2016-09-05,,,SY0100074
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Old Damascus,دمشق القديمة,A011,Amin,الأمين,N0057,Amin (Damascus),الأمين - دمشق,,,,,2016-09-05,,,SY0100075
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Old Damascus,دمشق القديمة,A011,Bab Touma,باب توما,N0049,Bab Touma,باب توما,,,,,2016-09-05,,,SY0100076
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Old Damascus,دمشق القديمة,A011,Joura,الجورة,N0042,Joura,الجورة,,,,,2016-09-05,,,SY0100077
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Old Damascus,دمشق القديمة,A011,Al Qeimariyyeh,القيمرية,N0048,Al Qeimariyyeh,القيمرية,,,,,2016-09-05,,,SY0100078
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Old Damascus,دمشق القديمة,A011,Amara Jowaniyyeh,العمارة الجوانية,N0043,Amara Jowaniyyeh,العمارة الجوانية,,,,,2016-09-05,,,SY0100079
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qanawat,القنوات,A010,Bab Sreijeh,باب سريجة,N0059,Bab Sreijeh,باب سريجة,,,,,2016-09-05,,,SY0100081
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qanawat,القنوات,A010,Al Qanawat,القنوات,N0052,Al Qanawat,القنوات,,,,,2016-09-05,,,SY0100082
