adm2_tr,adm2_en,adm1_tr,adm1_en,adm1_code,adm0_tr,adm0_en,pcode
ÇERKEŞ,CERKES,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018004
ELDİVAN,ELDIVAN,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018005
ILGAZ,ILGAZ,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018006
KIZILIRMAK,KIZILIRMAK,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018007
KORGUN,KORGUN,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018008
KURŞUNLU,KURSUNLU,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018009
ORTA,ORTA,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018010
ŞABANÖZÜ,SABANOZU,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018011
YAPRAKLI,YAPRAKLI,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018012
ALACA,ALACA,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019001
BAYAT,BAYAT,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019002
BOĞAZKALE,BOGAZKALE,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019003
ÇORUM,CORUM,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019004
DODURGA,DODURGA,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019005
İSKİLİP,ISKILIP,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019006
KARGI,KARGI,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019007
LAÇİN,LACIN,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019008
MECİTÖZÜ,MECITOZU,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019009
OĞUZLAR,OGUZLAR,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019010
ORTAKÖY,ORTAKOY,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019011
OSMANCIK,OSMANCIK,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019012
SUNGURLU,SUNGURLU,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019013
UĞURLUDAĞ,UGURLUDAG,ÇORUM,CORUM,TUR019,TÜRKİYE,TURKEY,TUR019014
ACIPAYAM,ACIPAYAM,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020001
BABADAĞ,BABADAG,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020002
BAKLAN,BAKLAN,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020003
BEKİLLİ,BEKILLI,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020004
BEYAĞAÇ,BEYAGAC,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020005
BOZKURT,BOZKURT,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020006
BULDAN,BULDAN,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020007
ÇAL,CAL,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020008
ÇAMELİ,CAMELI,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020009
ÇARDAK,CARDAK,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020010
ÇİVRİL,CIVRIL,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020011
GÜNEY,GUNEY,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020012
HONAZ,HONAZ,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020013
KALE,KALE,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020014
MERKEZEFENDİ,MERKEZEFENDI,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020015
PAMUKKALE,PAMUKKALE,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020016
SARAYKÖY,SARAYKOY,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020017
SERİNHİSAR,SERINHISAR,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020018
TAVAS,TAVAS,DENİZLİ,DENIZLI,TUR020,TÜRKİYE,TURKEY,TUR020019
BAĞLAR,BAGLAR,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021001
BİSMİL,BISMIL,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021002
ÇERMİK,CERMIK,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021003
ÇINAR,CINAR,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021004
ÇÜNGÜŞ,CUNGUS,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021005
DİCLE,DICLE,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021006
EĞİL,EGIL,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021007
ERGANİ,ERGANI,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021008
HANİ,HANI,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021009
HAZRO,HAZRO,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021010
KAYAPINAR,KAYAPINAR,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021011
KOCAKÖY,KOCAKOY,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021012
KULP,KULP,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021013
LİCE,LICE,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021014
SİLVAN,SILVAN,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021015
SUR,SUR,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021016
YENİŞEHİR,YENISEHIR,DİYARBAKIR,DIYARBAKIR,TUR021,TÜRKİYE,TURKEY,TUR021017
AKÇAKOCA,AKCAKOCA,DÜZCE,DUZCE,TUR081,TÜRKİYE,TURKEY,TUR081001
ÇİLİMLİ,CILIMLI,DÜZCE,DUZCE,TUR081,TÜRKİYE,TURKEY,TUR081003
CUMAYERİ,CUMAYERI,DÜZCE,DUZCE,TUR081,TÜRKİYE,TURKEY,TUR081002
DÜZCE,DUZCE,DÜZCE,DUZCE,TUR081,TÜRKİYE,TURKEY,TUR081004
GÖLYAKA,GOLYAKA,DÜZCE,DUZCE,TUR081,TÜRKİYE,TURKEY,TUR081005
GÜMÜŞOVA,GUMUSOVA,DÜZCE,DUZCE,TUR081,TÜRKİYE,TURKEY,TUR081006
KAYNAŞLI,KAYNASLI,DÜZCE,DUZCE,TUR081,TÜRKİYE,TURKEY,TUR081007
YIĞILCA,YIGILCA,DÜZCE,DUZCE,TUR081,TÜRKİYE,TURKEY,TUR081008
EDİRNE,EDIRNE,EDİRNE,EDIRNE,TUR022,TÜRKİYE,TURKEY,TUR022001
ENEZ,ENEZ,EDİRNE,EDIRNE,TUR022,TÜRKİYE,TURKEY,TUR022002
HAVSA,HAVSA,EDİRNE,EDIRNE,TUR022,TÜRKİYE,TURKEY,TUR022003
İPSALA,IPSALA,EDİRNE,EDIRNE,TUR022,TÜRKİYE,TURKEY,TUR022004
KEŞAN,KESAN,EDİRNE,EDIRNE,TUR022,TÜRKİYE,TURKEY,TUR022005
LALAPAŞA,LALAPASA,EDİRNE,EDIRNE,TUR022,TÜRKİYE,TURKEY,TUR022006
MERİÇ,MERIC,EDİRNE,EDIRNE,TUR022,TÜRKİYE,TURKEY,TUR022007
SÜLOĞLU,SULOGLU,EDİRNE,EDIRNE,TUR022,TÜRKİYE,TURKEY,TUR022008
UZUNKÖPRÜ,UZUNKOPRU,EDİRNE,EDIRNE,TUR022,TÜRKİYE,TURKEY,TUR022009
AĞIN,AGIN,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023001
ALACAKAYA,ALACAKAYA,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023002
ARICAK,ARICAK,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023003
BASKİL,BASKIL,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023004
ELAZIĞ,ELAZIG,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023005
KARAKOÇAN,KARAKOCAN,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023006
KEBAN,KEBAN,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023007
KOVANCILAR,KOVANCILAR,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023008
MADEN,MADEN,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023009
PALU,PALU,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023010
SİVRİCE,SIVRICE,ELAZIĞ,ELAZIG,TUR023,TÜRKİYE,TURKEY,TUR023011
ÇAYIRLI,CAYIRLI,ERZİNCAN,ERZINCAN,TUR024,TÜRKİYE,TURKEY,TUR024001
ERZİNCAN,ERZINCAN,ERZİNCAN,ERZINCAN,TUR024,TÜRKİYE,TURKEY,TUR024002
İLİÇ,ILIC,ERZİNCAN,ERZINCAN,TUR024,TÜRKİYE,TURKEY,TUR024003
KEMAH,KEMAH,ERZİNCAN,ERZINCAN,TUR024,TÜRKİYE,TURKEY,TUR024004
KEMALİYE,KEMALIYE,ERZİNCAN,ERZINCAN,TUR024,TÜRKİYE,TURKEY,TUR024005
OTLUKBELİ,OTLUKBELI,ERZİNCAN,ERZINCAN,TUR024,TÜRKİYE,TURKEY,TUR024006
REFAHİYE,REFAHIYE,ERZİNCAN,ERZINCAN,TUR024,TÜRKİYE,TURKEY,TUR024007
TERCAN,TERCAN,ERZİNCAN,ERZINCAN,TUR024,TÜRKİYE,TURKEY,TUR024008
ÜZÜMLÜ,UZUMLU,ERZİNCAN,ERZINCAN,TUR024,TÜRKİYE,TURKEY,TUR024009
AŞKALE,ASKALE,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025001
AZİZİYE,AZIZIYE,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025002
ÇAT,CAT,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025003
HINIS,HINIS,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025004
HORASAN,HORASAN,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025005
İSPİR,ISPIR,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025006
KARAÇOBAN,KARACOBAN,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025007
KARAYAZI,KARAYAZI,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025008
KÖPRÜKÖY,KOPRUKOY,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025009
NARMAN,NARMAN,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025010
OLTU,OLTU,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025011
OLUR,OLUR,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025012
PALANDÖKEN,PALANDOKEN,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025013
PASİNLER,PASINLER,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025014
PAZARYOLU,PAZARYOLU,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025015
ŞENKAYA,SENKAYA,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025016
TEKMAN,TEKMAN,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025017
TORTUM,TORTUM,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025018
UZUNDERE,UZUNDERE,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025019
YAKUTİYE,YAKUTIYE,ERZURUM,ERZURUM,TUR025,TÜRKİYE,TURKEY,TUR025020
ALPU,ALPU,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026001
BEYLİKOVA,BEYLIKOVA,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026002
ÇİFTELER,CIFTELER,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026003
GÜNYÜZÜ,GUNYUZU,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026004
HAN,HAN,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026005
İNÖNÜ,INONU,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026006
MAHMUDİYE,MAHMUDIYE,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026007
MİHALGAZİ,MIHALGAZI,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026008
MİHALIÇÇIK,MIHALICCIK,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026009
ODUNPAZARI,ODUNPAZARI,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026010
SARICAKAYA,SARICAKAYA,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026011
SEYİTGAZİ,SEYITGAZI,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026012
SİVRİHİSAR,SIVRIHISAR,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026013
TEPEBAŞI,TEPEBASI,ESKİŞEHİR,ESKISEHIR,TUR026,TÜRKİYE,TURKEY,TUR026014
ARABAN,ARABAN,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027001
İSLAHİYE,ISLAHIYE,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027002
KARKAMIŞ,KARKAMIS,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027003
NİZİP,NIZIP,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027004
NURDAĞI,NURDAGI,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027005
OĞUZELİ,OGUZELI,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027006
ŞAHİNBEY,SAHINBEY,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027007
ŞEHİTKAMİL,SEHITKAMIL,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027008
YAVUZELİ,YAVUZELI,GAZİANTEP,GAZIANTEP,TUR027,TÜRKİYE,TURKEY,TUR027009
ALUCRA,ALUCRA,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028001
BULANCAK,BULANCAK,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028002
ÇAMOLUK,CAMOLUK,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028003
ÇANAKÇI,CANAKCI,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028004
DERELİ,DERELI,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028005
DOĞANKENT,DOGANKENT,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028006
ESPİYE,ESPIYE,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028007
EYNESİL,EYNESIL,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028008
GİRESUN,GIRESUN,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028009
GÖRELE,GORELE,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028010
GÜCE,GUCE,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028011
KEŞAP,KESAP,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028012
PİRAZİZ,PIRAZIZ,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028013
ŞEBİNKARAHİSAR,SEBINKARAHISAR,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028014
TİREBOLU,TIREBOLU,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028015
YAĞLIDERE,YAGLIDERE,GİRESUN,GIRESUN,TUR028,TÜRKİYE,TURKEY,TUR028016
GÜMÜŞHANE,GUMUSHANE,GÜMÜŞHANE,GUMUSHANE,TUR029,TÜRKİYE,TURKEY,TUR029001
KELKİT,KELKIT,GÜMÜŞHANE,GUMUSHANE,TUR029,TÜRKİYE,TURKEY,TUR029002
KÖSE,KOSE,GÜMÜŞHANE,GUMUSHANE,TUR029,TÜRKİYE,TURKEY,TUR029003
KÜRTÜN,KURTUN,GÜMÜŞHANE,GUMUSHANE,TUR029,TÜRKİYE,TURKEY,TUR029004
ŞİRAN,SIRAN,GÜMÜŞHANE,GUMUSHANE,TUR029,TÜRKİYE,TURKEY,TUR029005
TORUL,TORUL,GÜMÜŞHANE,GUMUSHANE,TUR029,TÜRKİYE,TURKEY,TUR029006
ÇUKURCA,CUKURCA,HAKKARİ,HAKKARI,TUR030,TÜRKİYE,TURKEY,TUR030001
HAKKARİ,HAKKARI,HAKKARİ,HAKKARI,TUR030,TÜRKİYE,TURKEY,TUR030002
ŞEMDİNLİ,SEMDINLI,HAKKARİ,HAKKARI,TUR030,TÜRKİYE,TURKEY,TUR030003
YÜKSEKOVA,YUKSEKOVA,HAKKARİ,HAKKARI,TUR030,TÜRKİYE,TURKEY,TUR030004
ALTINÖZÜ,ALTINOZU,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031001
ANTAKYA,ANTAKYA,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031002
ARSUZ,ARSUZ,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031003
BELEN,BELEN,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031004
DEFNE,DEFNE,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031005
DÖRTYOL,DORTYOL,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031006
ERZİN,ERZIN,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031007
HASSA,HASSA,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031008
İSKENDERUN,ISKENDERUN,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031009
KIRIKHAN,KIRIKHAN,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031010
KUMLU,KUMLU,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031011
PAYAS,PAYAS,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031012
REYHANLI,REYHANLI,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031013
SAMANDAĞ,SAMANDAG,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031014
YAYLADAĞI,YAYLADAGI,HATAY,HATAY,TUR031,TÜRKİYE,TURKEY,TUR031015
ARALIK,ARALIK,IĞDIR,IGDIR,TUR076,TÜRKİYE,TURKEY,TUR076001
IĞDIR,IGDIR,IĞDIR,IGDIR,TUR076,TÜRKİYE,TURKEY,TUR076002
KARAKOYUNLU,KARAKOYUNLU,IĞDIR,IGDIR,TUR076,TÜRKİYE,TURKEY,TUR076003
TUZLUCA,TUZLUCA,IĞDIR,IGDIR,TUR076,TÜRKİYE,TURKEY,TUR076004
AKSU,AKSU,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032001
ATABEY,ATABEY,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032002
EĞİRDİR,EGIRDIR,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032003
GELENDOST,GELENDOST,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032004
GÖNEN,GONEN,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032005
ISPARTA,ISPARTA,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032006
KEÇİBORLU,KECIBORLU,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032007
ŞARKİKARAAĞAÇ,SARKIKARAAGAC,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032010
SENİRKENT,SENIRKENT,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032008
SÜTÇÜLER,SUTCULER,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032009
ULUBORLU,ULUBORLU,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032011
YALVAÇ,YALVAC,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032012
YENİŞARBADEMLİ,YENISARBADEMLI,ISPARTA,ISPARTA,TUR032,TÜRKİYE,TURKEY,TUR032013
ADALAR,ADALAR,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034001
ARNAVUTKÖY,ARNAVUTKOY,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034002
ATAŞEHİR,ATASEHIR,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034003
AVCILAR,AVCILAR,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034004
BAĞCILAR,BAGCILAR,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034005
BAHÇELİEVLER,BAHCELIEVLER,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034006
BAKIRKÖY,BAKIRKOY,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034007
BAŞAKŞEHİR,BASAKSEHIR,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034008
BAYRAMPAŞA,BAYRAMPASA,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034009
BEŞİKTAŞ,BESIKTAS,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034010
BEYKOZ,BEYKOZ,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034011
BEYLİKDÜZÜ,BEYLIKDUZU,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034012
BEYOĞLU,BEYOGLU,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034013
BÜYÜKÇEKMECE,BUYUKCEKMECE,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034014
ÇATALCA,CATALCA,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034015
ÇEKMEKÖY,CEKMEKOY,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034016
ESENLER,ESENLER,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034017
ESENYURT,ESENYURT,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034018
EYÜPSULTAN,EYUPSULTAN,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034019
FATİH,FATIH,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034020
GAZİOSMANPAŞA,GAZIOSMANPASA,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034021
GÜNGÖREN,GUNGOREN,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034022
KADIKÖY,KADIKOY,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034023
KAĞITHANE,KAGITHANE,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034024
KARTAL,KARTAL,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034025
KÜÇÜKÇEKMECE,KUCUKCEKMECE,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034026
MALTEPE,MALTEPE,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034027
PENDİK,PENDIK,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034028
SANCAKTEPE,SANCAKTEPE,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034029
SARIYER,SARIYER,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034030
ŞİLE,SILE,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034034
SİLİVRİ,SILIVRI,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034031
ŞİŞLİ,SISLI,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034035
SULTANBEYLİ,SULTANBEYLI,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034032
SULTANGAZİ,SULTANGAZI,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034033
TUZLA,TUZLA,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034036
ÜMRANİYE,UMRANIYE,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034037
ÜSKÜDAR,USKUDAR,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034038
ZEYTİNBURNU,ZEYTINBURNU,İSTANBUL,ISTANBUL,TUR034,TÜRKİYE,TURKEY,TUR034039
ALİAĞA,ALIAGA,İZMİR,IZMIR,TUR035,TÜRKİYE,TURKEY,TUR035001
BALÇOVA,BALCOVA,İZMİR,IZMIR,TUR035,TÜRKİYE,TURKEY,TUR035002
BAYINDIR,BAYINDIR,İZMİR,IZMIR,TUR035,TÜRKİYE,TURKEY,TUR035003
BAYRAKLI,BAYRAKLI,İZMİR,IZMIR,TUR035,TÜRKİYE,TURKEY,TUR035004
BERGAMA,BERGAMA,İZMİR,IZMIR,TUR035,TÜRKİYE,TURKEY,TUR035005
BEYDAĞ,BEYDAG,İZMİR,IZMIR,TUR035,TÜRKİYE,TURKEY,TUR035006
BORNOVA,BORNOVA,İZMİR,IZMIR,TUR035,TÜRKİYE,TURKEY,TUR035007
BUCA,BUCA,İZMİR,IZMIR,TUR035,TÜRKİYE,TURKEY,TUR035008
ÇEŞME,CESME,İZMİR,IZMIR,TUR035,TÜRKİYE,TURKEY,TUR035009
