adm2_tr,adm2_en,adm1_tr,adm1_en,adm1_code,adm0_tr,adm0_en,pcode
GÜZELYURT,GUZELYURT,AKSARAY,AKSARAY,TUR068,TÜRKİYE,TURKEY,TUR068005
ORTAKÖY,ORTAKOY,AKSARAY,AKSARAY,TUR068,TÜRKİYE,TURKEY,TUR068006
SARIYAHŞİ,SARIYAHSI,AKSARAY,AKSARAY,TUR068,TÜRKİYE,TURKEY,TUR068007
SULTANHANI,SULTANHANI,AKSARAY,AKSARAY,TUR068,TÜRKİYE,TURKEY,TUR068008
AMASYA,AMASYA,AMASYA,AMASYA,TUR005,TÜRKİYE,TURKEY,TUR005001
GÖYNÜCEK,GOYNUCEK,AMASYA,AMASYA,TUR005,TÜRKİYE,TURKEY,TUR005002
GÜMÜŞHACIKÖY,GUMUSHACIKOY,AMASYA,AMASYA,TUR005,TÜRKİYE,TURKEY,TUR005003
HAMAMÖZÜ,HAMAMOZU,AMASYA,AMASYA,TUR005,TÜRKİYE,TURKEY,TUR005004
MERZİFON,MERZIFON,AMASYA,AMASYA,TUR005,TÜRKİYE,TURKEY,TUR005005
SULUOVA,SULUOVA,AMASYA,AMASYA,TUR005,TÜRKİYE,TURKEY,TUR005006
TAŞOVA,TASOVA,AMASYA,AMASYA,TUR005,TÜRKİYE,TURKEY,TUR005007
AKYURT,AKYURT,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006001
ALTINDAĞ,ALTINDAG,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006002
AYAŞ,AYAS,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006003
BALA,BALA,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006004
BEYPAZARI,BEYPAZARI,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006005
ÇAMLIDERE,CAMLIDERE,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006006
ÇANKAYA,CANKAYA,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006007
ÇUBUK,CUBUK,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006008
ELMADAĞ,ELMADAG,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006009
ETİMESGUT,ETIMESGUT,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006010
EVREN,EVREN,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006011
GÖLBAŞI,GOLBASI,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006012
GÜDÜL,GUDUL,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006013
HAYMANA,HAYMANA,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006014
KAHRAMANKAZAN,KAHRAMANKAZAN,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006015
KALECİK,KALECIK,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006016
KEÇİÖREN,KECIOREN,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006017
KIZILCAHAMAM,KIZILCAHAMAM,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006018
MAMAK,MAMAK,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006019
NALLIHAN,NALLIHAN,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006020
POLATLI,POLATLI,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006021
PURSAKLAR,PURSAKLAR,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006022
ŞEREFLİKOÇHİSAR,SEREFLIKOCHISAR,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006024
SİNCAN,SINCAN,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006023
YENİMAHALLE,YENIMAHALLE,ANKARA,ANKARA,TUR006,TÜRKİYE,TURKEY,TUR006025
AKSEKİ,AKSEKI,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007001
AKSU,AKSU,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007002
ALANYA,ALANYA,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007003
DEMRE,DEMRE,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007004
DÖŞEMEALTI,DOSEMEALTI,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007005
ELMALI,ELMALI,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007006
FİNİKE,FINIKE,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007007
GAZİPAŞA,GAZIPASA,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007008
GÜNDOĞMUŞ,GUNDOGMUS,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007009
İBRADI,IBRADI,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007010
