admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Bourasso,BF460303,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Bouroum,BF490203,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Bouroum-Bouroum,BF570401,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Bourzanga,BF490101,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Bousouma,BF480106,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Bousse,BF550201,,,,Kourweogo,BF5502,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Boussera,BF570402,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Boussou,BF540402,,,,Zondoma,BF5404,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Boussoukoula,BF570302,,,,Noumbiel,BF5703,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Boussouma,BF490302,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Cassou,BF500403,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Coalla,BF520103,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Comin-Yanga,BF480201,,,,Koulpelogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Dablo,BF490303,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Dakoro,BF470201,,,,Leraba,BF4702,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Dalo,BF500404,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Dande,BF530103,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Dano,BF570201,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Dapelogo,BF550302,,,,Oubritenga,BF5503,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Dargo,BF490204,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Dassa,BF500201,,,,Sanguie,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Dedougou,BF460402,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Deou,BF560101,,,,Oudalan,BF5601,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Di,BF460601,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Diabo,BF520201,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Dialgaye,BF480303,,,,Kouritenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Diapaga,BF520502,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Diapangou,BF520202,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Didyr,BF500202,,,,Sanguie,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Diebougou,BF570102,,,,Bougouriba,BF5701,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Diguel,BF560303,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Dissin,BF570202,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Djibasso,BF460304,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Djibo,BF560304,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Djigoue,BF570403,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Djigouera,BF530202,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Dokuy,BF460305,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Dolo,BF570103,,,,Bougouriba,BF5701,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Dori,BF560202,,,,Seno,BF5602,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Doulougou,BF510101,,,,Bazega,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Doumbala,BF460306,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Douna,BF470202,,,,Leraba,BF4702,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Douroula,BF460403,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Dourtenga,BF480202,,,,Koulpelogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Fada N'Gourma,BF520203,Fada NGourma,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Falagountou,BF560203,,,,Seno,BF5602,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Fara,BF460104,,,,Bale,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Faramana,BF530104,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Fo,BF530105,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Founzan,BF530304,,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Foutouri,BF520302,,,,Komondjari,BF5203,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Gao,BF500405,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Gaongo,BF510102,,,,Bazega,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Gaoua,BF570404,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Garango,BF480107,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Gassan,BF460501,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Gayeri,BF520303,,,,Komondjari,BF5203,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Gbomblora,BF570405,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Godyr,BF500203,,,,Sanguie,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Gogo,BF510303,,,,Zoundweogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Gomboro,BF460602,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Gomboussougou,BF510304,,,,Zoundweogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Gomponson,BF540205,,,,Passore,BF5402,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Gorgadji,BF560204,,,,Seno,BF5602,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Gorom-Gorom,BF560102,,,,Oudalan,BF5601,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Gossina,BF460502,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Gounghin,BF480304,,,,Kouritenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Gourcy,BF540403,,,,Zondoma,BF5404,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Gueguere,BF570203,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Guiaro,BF510201,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Guiba,BF510305,,,,Zoundweogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Guibare,BF490102,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Hounde,BF530305,,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Imasgo,BF500102,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Iolonioro,BF570104,,,,Bougouriba,BF5701,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Ipelce,BF510103,,,,Bazega,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Kain,BF540302,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Kalsaka,BF540303,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Kampti,BF570406,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Kando,BF480305,,,,Kouritenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Kangala,BF530203,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Kankalaba,BF470203,,,,Leraba,BF4702,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Kantchari,BF520503,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Karangasso - Sambla,BF530106,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Karangasso - Vigue,BF530107,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Kassoum,BF460603,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Kaya,BF490304,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Kayan,BF530204,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Kayao,BF510104,,,,Bazega,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Kelbo,BF560305,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Kiembara,BF460604,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Kindi,BF500103,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Kirsi,BF540206,,,,Passore,BF5402,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Kogo,BF550102,,,,Ganzourgou,BF5501,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Kokologo,BF500104,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Koloko,BF530205,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Kombissiri,BF510105,,,,Bazega,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Kombori,BF460307,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Komki-Ipala,BF130001,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2018-07-05,2018-08-14,
Kompienga,BF520401,,,,Kompienga,BF5204,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Komsilga,BF130002,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2018-07-05,2018-08-14,
Komtoega,BF480108,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Kona,BF460404,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Kongoussi,BF490103,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Koper,BF570204,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Kordie,BF500204,,,,Sanguie,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Korsimoro,BF490305,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Kossouka,BF540304,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Koti,BF530306,,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Koubri,BF130003,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2018-07-05,2018-08-14,
Koudougou,BF500105,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Kougny,BF460503,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Kouka,BF460202,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Koumbia,BF530307,,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Koumbri,BF540305,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Koundougou,BF530108,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Koupela,BF480306,,,,Kouritenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Kourinion,BF530206,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Kourouma,BF530207,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Koutougou,BF560306,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Kpere,BF570303,,,,Noumbiel,BF5703,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Kyon,BF500205,,,,Sanguie,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
La-Todin,BF540207,,,,Passore,BF5402,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Lalgaye,BF480203,,,,Koulpelogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Lanfiera,BF460605,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Lankoue,BF460606,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Laye,BF550202,,,,Kourweogo,BF5502,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Leba,BF540404,,,,Zondoma,BF5404,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Legmoin,BF570304,,,,Noumbiel,BF5703,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Lena,BF530109,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Leo,BF500303,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Liptougou,BF520104,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Logobou,BF520504,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Loropeni,BF570407,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Loumana,BF470204,,,,Leraba,BF4702,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Loumbila,BF550303,,,,Oubritenga,BF5503,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Madjoari,BF520402,,,,Kompienga,BF5204,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Madouba,BF460308,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Malba,BF570408,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Mane,BF490306,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Manga,BF510306,,,,Zoundweogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Mangodara,BF470103,,,,Comoe,BF4701,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Mani,BF520105,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Mansila,BF560402,,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Markoye,BF560103,,,,Oudalan,BF5601,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Matiacoali,BF520204,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Meguet,BF550103,,,,Ganzourgou,BF5501,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Midebdo,BF570305,,,,Noumbiel,BF5703,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Mogtedo,BF550104,,,,Ganzourgou,BF5501,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Morolaba,BF530208,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Moussodougou,BF470104,,,,Comoe,BF4701,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
N'Dorola,BF530209,NDorola,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Nabielianayou,BF500304,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Nagbingou,BF490205,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Nagreongo,BF550304,,,,Oubritenga,BF5503,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Nako,BF570409,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Namissigma,BF490307,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
