admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Nouna,BF460309,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Orodara,BF530210,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Oronkua,BF570206,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Ouagadougou,BF130004,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2018-07-05,2018-08-14,
Ouahigouya,BF540307,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Ouargaye,BF480204,,,,Koulpelogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Ouarkoye,BF460405,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Oueleni,BF470206,,,,Leraba,BF4702,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Ouessa,BF570207,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Ouindigui,BF540102,,,,Loroum,BF5401,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Oula,BF540308,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Ouo,BF470106,,,,Comoe,BF4701,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Ourgou-Manega,BF550305,,,,Oubritenga,BF5503,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Ouri,BF460105,,,,Bale,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Oursi,BF560104,,,,Oudalan,BF5601,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Pa,BF460106,,,,Bale,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Pabre,BF130005,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2018-07-05,2018-08-14,
Padema,BF530110,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Pama,BF520403,,,,Kompienga,BF5204,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Partiaga,BF520506,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Pella,BF500108,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Peni,BF530111,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Pensa,BF490308,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Perigban,BF570410,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Pibaore,BF490309,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Piela,BF520106,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Pilimpikou,BF540208,,,,Passore,BF5402,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Pissila,BF490310,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Po,BF510202,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Poa,BF500109,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Pobe-Mangao,BF560308,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Pompoi,BF460107,,,,Bale,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Pouni,BF500206,,,,Sanguie,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Poura,BF460108,,,,Bale,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Pouytenga,BF480307,,,,Kouritenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Rambo,BF540309,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Ramongo,BF500110,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Reo,BF500207,,,,Sanguie,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Rollo,BF490105,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Rouko,BF490106,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Saaba,BF130006,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2018-07-05,2018-08-14,
Sabce,BF490107,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Sabou,BF500111,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Safane,BF460406,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Salogo,BF550105,,,,Ganzourgou,BF5501,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Samba,BF540209,,,,Passore,BF5402,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Sami,BF460203,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Samogohiri,BF530211,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Samorogouan,BF530212,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Sampelga,BF560205,,,,Seno,BF5602,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Sanaba,BF460204,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Sangha,BF480205,,,,Koulpelogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Sapone,BF510106,,,,Bazega,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Sapouy,BF500406,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Satiri,BF530112,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Sebba,BF560403,,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Seguenega,BF540310,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Seytenga,BF560206,,,,Seno,BF5602,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Siby,BF460109,,,,Bale,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Sideradougou,BF470107,,,,Comoe,BF4701,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Sigle,BF500112,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Silly,BF500306,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Sindo,BF530213,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Sindou,BF470207,,,,Leraba,BF4702,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Soaw,BF500113,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Solenzo,BF460205,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Solhan,BF560404,,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Solle,BF540103,,,,Loroum,BF5401,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Sono,BF460311,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Soubakaniedougou,BF470108,,,,Comoe,BF4701,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Soudougui,BF480206,,,,Koulpelogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Sourgou,BF500114,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Sourgoubila,BF550204,,,,Kourweogo,BF5502,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Tambaga,BF520507,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Tangaye,BF540311,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Tanghin-Dassouri,BF130007,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2018-07-05,2018-08-14,
Tankougounadie,BF560405,,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Tansarga,BF520508,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Tansila,BF460206,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Tcheriba,BF460407,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Tenado,BF500208,,,,Sanguie,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Tenkodogo,BF480110,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Tensobentenga,BF480308,,,,Kouritenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Thion,BF520107,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Thiou,BF540312,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Thyou,BF500115,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Tiankoura,BF570105,,,,Bougouriba,BF5701,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Tibga,BF520205,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Tiebele,BF510203,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Tiefora,BF470109,,,,Comoe,BF4701,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Tikare,BF490108,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Tin-Akoff,BF560105,,,,Oudalan,BF5601,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Titabe,BF560406,,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Titao,BF540104,,,,Loroum,BF5401,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
To,BF500307,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Toece,BF510107,,,,Bazega,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Toeghin,BF550205,,,,Kourweogo,BF5502,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Toeni,BF460607,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Toma,BF460504,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Tongomayel,BF560309,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Tougan,BF460608,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Tougo,BF540405,,,,Zondoma,BF5404,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Tougouri,BF490206,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Toussiana,BF530113,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Wolokonto,BF470208,,,,Leraba,BF4702,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Yaba,BF460505,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Yaho,BF460110,,,,Bale,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Yako,BF540210,,,,Passore,BF5402,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Yalgo,BF490207,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Yamba,BF520206,,,,Gourma,BF5202,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Yargatenga,BF480207,,,,Koulpelogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Yargo,BF480309,,,,Kouritenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Ye,BF460506,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Yonde,BF480208,,,,Koulpelogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Zabre,BF480111,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Zam,BF550106,,,,Ganzourgou,BF5501,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Zambo,BF570208,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Zamo,BF500209,,,,Sanguie,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Zawara,BF500210,,,,Sanguie,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Zecco,BF510204,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Zeguedeguin,BF490208,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Ziga,BF490311,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Zimtenga,BF490109,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Ziniare,BF550306,,,,Oubritenga,BF5503,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Ziou,BF510205,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Zitenga,BF550307,,,,Oubritenga,BF5503,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Zoaga,BF480112,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Zogore,BF540313,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Zonse,BF480113,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Zorgho,BF550107,,,,Ganzourgou,BF5501,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Zoungou,BF550108,,,,Ganzourgou,BF5501,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
