admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo
Tonj North,SS0804,,,,Warrap,SS08,South Sudan,SS,2018-08-15,2018-08-17,
Tonj South,SS0805,,,,Warrap,SS08,South Sudan,SS,2018-08-15,2018-08-17,
Twic,SS0806,,,,Warrap,SS08,South Sudan,SS,2018-08-15,2018-08-17,
Jur River,SS0901,,,,Western Bahr el Ghazal,SS09,South Sudan,SS,2018-08-15,2018-08-17,
Raja,SS0902,,Raga,,Western Bahr el Ghazal,SS09,South Sudan,SS,2018-08-15,2018-08-17,
Wau,SS0903,,,,Western Bahr el Ghazal,SS09,South Sudan,SS,2018-08-15,2018-08-17,
Ezo,SS1001,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2018-08-17,
Ibba,SS1002,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2018-08-17,
Maridi,SS1003,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2018-08-17,
Mundri East,SS1004,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2018-08-17,
Mundri West,SS1005,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2018-08-17,
Mvolo,SS1006,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2018-08-17,
Nagero,SS1007,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2018-08-17,
Nzara,SS1008,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2018-08-17,
Tambura,SS1009,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2018-08-17,
Yambio,SS1010,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2018-08-17,
Abyei Region,SS0807,,Abyei,,Warrap,SS08,South Sudan,SS,2018-08-15,2018-08-17,
