admin0Name_es,admin0Pcode,admin1Name_es,admin1Pcode,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,date,validOn,validTo
Colombia,CO,Boyacá,CO15,Puerto Boyacá,CO15572,Puerto Boyaca,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Heliconia,CO05347,Heliconia,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Marinilla,CO05440,Marinilla,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Armenia,CO05059,Armenia,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Aguada,CO68013,Aguada,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Rionegro,CO05615,Rionegro,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Granada,CO05313,Granada,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Jerico,CO15368,Jerico,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Encino,CO68264,Encino,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Suaita,CO68770,Suaita,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Itaguí,CO05360,Itagui,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Envigado,CO05266,Envigado,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Medio Atrato,CO27425,Medio Atrato,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Angelópolis,CO05036,Angelopolis,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Sucre,CO68773,Sucre,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Sativanorte,CO15720,Sativanorte,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Santuario,CO05697,Santuario,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,La Estrella,CO05380,La Estrella,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,San Benito,CO68673,San Benito,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Sabaneta,CO05631,Sabaneta,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Concordia,CO05209,Concordia,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Retiro,CO05607,Retiro,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Tutaza,CO15839,Tutaza,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Carmen de Viboral,CO05148,Carmen de Viboral,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,El Peñon,CO68250,El Penon,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Titiribí,CO05809,Titiribi,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Chipatá,CO68179,Chipata,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,San Luis,CO05660,San Luis,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Cocorná,CO05197,Cocorna,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Caldas,CO05129,Caldas,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Socota,CO15755,Socota,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Sativasur,CO15723,Sativasur,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Santana,CO15686,Santana,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Paz de Río,CO15537,Paz de Rio,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Belén,CO15087,Belen,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Amagá,CO05030,Amaga,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Gambita,CO68298,Gambita,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Güepsa,CO68327,Guepsa,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Chitaraque,CO15185,Chitaraque,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Salgar,CO05642,Salgar,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Alto Baudó,CO27025,Alto Baudo,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,La Ceja,CO05376,La Ceja,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Socha,CO15757,Socha,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Puerto Triunfo,CO05591,Puerto Triunfo,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,San José de Pare,CO15664,San Jose de Pare,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,La Unión,CO05400,La Union,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,La Belleza,CO68377,La Belleza,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,El Carmen de Atrato,CO27245,El Carmen de Atrato,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Montebello,CO05467,Montebello,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Cerinza,CO15162,Cerinza,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Venecia,CO05861,Venecia,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Nuqui,CO27495,Nuqui,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Paipa,CO15516,Paipa,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Fredonia,CO05282,Fredonia,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,San Francisco,CO05652,San Francisco,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Barbosa,CO68077,Barbosa,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Duitama,CO15238,Duitama,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Tasco,CO15790,Tasco,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Togui,CO15816,Togui,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Santa Bárbara,CO05679,Santa Barbara,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Guavata,CO68324,Guavata,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,San Rosa Viterbo,CO15693,San Rosa Viterbo,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Beteitiva,CO15092,Beteitiva,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Tarso,CO05792,Tarso,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Moniquirá,CO15469,Moniquira,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Abejorral,CO05002,Abejorral,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Ciudad Bolívar,CO05101,Ciudad Bolivar,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Floresta,CO15276,Floresta,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Puente Nacional,CO68572,Puente Nacional,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Sonsón,CO05756,Sonson,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Pueblorrico,CO05576,Pueblorrico,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Otanche,CO15507,Otanche,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Jesús María,CO68368,Jesus Maria,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Corrales,CO15215,Corrales,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Jérico,CO05368,Jerico,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Busbanza,CO15114,Busbanza,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Albania,CO68020,Albania,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Sotaquira,CO15763,Sotaquira,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Gameza,CO15296,Gameza,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Pisba,CO15550,Pisba,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,El Florian,CO68271,El Florian,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Arcabuco,CO15051,Arcabuco,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Hispania,CO05353,Hispania,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,La Pintada,CO05390,La Pintada,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Yacopí,CO25885,Yacopi,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Paya,CO15533,Paya,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Pauna,CO15531,Pauna,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Tibasosa,CO15806,Tibasosa,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Nobsa,CO15491,Nobsa,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Gachantiva,CO15293,Gachantiva,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Combita,CO15204,Combita,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Támesis,CO05789,Tamesis,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Betania,CO05091,Betania,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Topaga,CO15820,Topaga,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Santa Sofía,CO15696,Santa Sofia,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Puerto Salgar,CO25572,Puerto Salgar,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Mongua,CO15464,Mongua,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Saboya,CO15632,Saboya,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,La Dorada,CO17380,La Dorada,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Sogamoso,CO15759,Sogamoso,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Andes,CO05034,Andes,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Argelia,CO05055,Argelia,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,San Pablo Borbur,CO15681,San Pablo Borbur,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Monguí,CO15466,Mongui,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Norcasia,CO17495,Norcasia,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Samaná,CO17662,Samana,,,2009-01-01,2014-10-29,
