id,name_1,name_2,name_3,name_alt,type_1,type_alt,code_gadm,code_govt,code_ocha
AFG001,Kabul,کابل,,,,,,,AF01
AFG002,Kapisa,کاپیسا,,,,,,,AF02
AFG003,Parwan,پروان,,,,,,,AF03
AFG004,Maidan Wardak,میدان وردک,,,,,,,AF04
AFG005,Logar,لوگر,,,,,,,AF05
AFG006,Nangarhar,ننگرهار,,,,,,,AF06
AFG007,Laghman,لغمان,,,,,,,AF07
AFG008,Panjsher,پنجشیر,,,,,,,AF08
AFG009,Baghlan,بغلان,,,,,,,AF09
AFG010,Bamyan,بامیان,,,,,,,AF10
AFG011,Ghazni,غزنی,,,,,,,AF11
AFG012,Paktika,پکتیکا,,,,,,,AF12
AFG013,Paktya,پکتیا,,,,,,,AF13
AFG014,Khost,خوست,,,,,,,AF14
AFG015,Kunar,کنر ها,,,,,,,AF15
AFG016,Nuristan,نورستان,,,,,,,AF16
AFG017,Badakhshan,بدخشان,,,,,,,AF17
AFG018,Takhar,تخار,,,,,,,AF18
AFG019,Kunduz,کندز,,,,,,,AF19
AFG020,Samangan,سمنگان,,,,,,,AF20
AFG021,Balkh,بلخ,,,,,,,AF21
AFG022,Sar-e-Pul,سرپل,,,,,,,AF22
AFG023,Ghor,غور,,,,,,,AF23
AFG024,Daykundi,دایکندی,,,,,,,AF24
AFG025,Uruzgan,ارزگان,,,,,,,AF25
AFG026,Zabul,زابل,,,,,,,AF26
AFG027,Kandahar,کندهار,,,,,,,AF27
AFG028,Jawzjan,جوزجان,,,,,,,AF28
AFG029,Faryab,فاریاب,,,,,,,AF29
AFG030,Hilmand,هلمند,,,,,,,AF30
AFG031,Badghis,بادغیس,,,,,,,AF31
AFG032,Hirat,هرات,,,,,,,AF32
AFG033,Farah,فراه,,,,,,,AF33
AFG034,Nimroz,نیمروز,,,,,,,AF34
AGO001,Bengo,,,,,,,,AO01
AGO002,Benguela,,,,,,,,AO02
AGO003,Bié,,,,,,,,AO03
AGO004,Cabinda,,,,,,,,AO04
AGO005,Cuando Cubango,,,,,,,,AO05
AGO006,Cuanza Norte,,,,,,,,AO06
AGO007,Cuanza Sul,,,,,,,,AO07
AGO008,Cunene,,,,,,,,AO08
AGO009,Huíla,,,,,,,,AO09
AGO010,Huambo,,,,,,,,AO10
AGO011,Luanda,,,,,,,,AO11
AGO012,Lunda Norte,,,,,,,,AO12
AGO013,Lunda Sul,,,,,,,,AO13
AGO014,Malanje,,,,,,,,AO14
AGO015,Moxico,,,,,,,,AO15
AGO016,Namibe,,,,,,,,AO16
AGO017,Uíge,,,,,,,,AO17
AGO018,Zaire,,,,,,,,AO18
ALA001,Brändö,,,Braendoe,Municipality,Municipality,ALA.1_1,,
ALA002,Eckerö,,,Eckeroe,Municipality,Municipality,ALA.2_1,,
ALA003,Finström,,,Finstroem,Municipality,Municipality,ALA.3_1,,
ALA004,Föglö,,,Foegloe,Municipality,Municipality,ALA.4_1,,
ALA005,Geta,,,,Municipality,Municipality,ALA.5_1,,
ALA006,Hammarland,,,,Municipality,Municipality,ALA.6_1,,
ALA007,Jomala,,,,Municipality,Municipality,ALA.7_1,,
ALA008,Kökar,,,Koekar,Municipality,Municipality,ALA.8_1,,
ALA009,Kumlinge,,,,Municipality,Municipality,ALA.9_1,,
ALA010,Lemland,,,,Municipality,Municipality,ALA.10_1,,
ALA011,Lumparland,,,,Municipality,Municipality,ALA.11_1,,
ALA012,Mariehamn,,,,Municipality,Municipality,ALA.12_1,,
ALA013,Saltvik,,,,Municipality,Municipality,ALA.13_1,,
ALA014,Sottunga,,,,Municipality,Municipality,ALA.14_1,,
ALA015,Sund,,,,Municipality,Municipality,ALA.15_1,,
ALA016,Vårdö,,,Vaardoe,Municipality,Municipality,ALA.16_1,,
ALB001,Berat,,,,County,Qark|Region,ALB.1_1,80001,
ALB002,Dibër,,,Dibra| Dibrë,County,Qark|Region,ALB.2_1,80005,
ALB003,Durrës,,,Durresi|Durrsi|Durazzo,County,Qark|Region,ALB.3_1,80009,
ALB004,Elbasan,,,,County,Qark|Region,ALB.4_1,80012,
ALB005,Fier,,,,County,Qark|Region,ALB.5_1,80017,
ALB006,Gjirokastër,,,Gjinokastër|Argirocastro|Argyrocastro|Argyrokastron,County,Qark|Region,ALB.6_1,80021,
ALB007,Korçë,,,Coriza|Corizza|Koritsa|Koritza|Korça|Kortscha,County,Qark|Region,ALB.7_1,80025,
ALB008,Kukës,,,Kosova|Kossovo,County,Qark|Region,ALB.8_1,80030,
ALB009,Lezhë,,,Alessio|Lezha,County,Qark|Region,ALB.9_1,80034,
ALB010,Shkodër,,,Escútari|Shkodra|Skodë|Scutari,County,Qark|Region,ALB.10_1,80038,
ALB011,Tiranë,,,Tiran|Tirana,County,Qark|Region,ALB.11_1,80042,
ALB012,Vlorë,,,Vlona|Vlora|Vlonë|Valona,County,Qark|Region,ALB.12_1,80045,
AND001,Andorra la Vella,,,,Parish,Parròquia,AND.1_1,,
AND002,Canillo,,,,Parish,Parròquia,AND.2_1,,
AND003,Encamp,,,,Parish,Parròquia,AND.3_1,,
AND004,Escaldes-Engordany,,,,Parish,Parròquia,AND.4_1,,
AND005,La Massana,,,,Parish,Parròquia,AND.5_1,,
AND006,Ordino,,,,Parish,Parròquia,AND.6_1,,
AND007,Sant Julià de Lòria,,,,Parish,Parròquia,AND.7_1,,
ARE001,Abu Dhabi,,,إمارة أبوظبي,Emirate,Emirate,ARE.1_1,,
ARE002,Ajman,,,عجمان,Emirate,Emirate,ARE.2_1,,
ARE003,Dubai,,,دبي,Emirate,Emirate,ARE.3_1,,
ARE004,Fujairah,,,الفجيرة,Emirate,Emirate,ARE.4_1,,
ARE005,Ras Al-Khaimah,,,رأس الخيمة,Emirate,Emirate,ARE.5_1,,
ARE006,Sharjah,,,الشارقة,Emirate,Emirate,ARE.6_1,,
ARE007,Umm al-Qaywayn,,,أم القيوين,Emirate,Emirate,ARE.7_1,,
ARG001,Buenos Aires,,,Baires|Buenos Ayres,Province,Provincia,ARG.1_1,,
ARG002,Catamarca,,,,Province,Provincia,ARG.2_1,,
ARG003,Chaco,,,El Chaco|Presidente Juan Peron,Province,Provincia,ARG.3_1,,
ARG004,Chubut,,,,Province,Provincia,ARG.4_1,,
ARG005,Ciudad de Buenos Aires,,,BUENOS AIRES D.F.|Capital Federal|Distretto Federale|Distrito Federal|Federal Capital,Federal District,Distrito Federal,ARG.5_1,,
ARG006,Córdoba,,,Cordova,Province,Provincia,ARG.6_1,,
ARG007,Corrientes,,,,Province,Provincia,ARG.7_1,,
ARG008,Entre Ríos,,,Entre-Rios,Province,Provincia,ARG.8_1,,
ARG009,Formosa,,,,Province,Provincia,ARG.9_1,,
ARG010,Jujuy,,,,Province,Provincia,ARG.10_1,,
ARG011,La Pampa,,,El Pampa|Eva Perón,Province,Provincia,ARG.11_1,,
ARG012,La Rioja,,,,Province,Provincia,ARG.12_1,,
ARG013,Mendoza,,,,Province,Provincia,ARG.13_1,,
ARG014,Misiones,,,Missões,Province,Provincia,ARG.14_1,,
ARG015,Neuquén,,,Neuquén,Province,Provincia,ARG.15_1,,
ARG016,Río Negro,,,,Province,Provincia,ARG.16_1,,
ARG017,Salta,,,,Province,Provincia,ARG.17_1,,
ARG018,San Juan,,,,Province,Provincia,ARG.18_1,,
