id,name_1,name_alt,type_1,type_alt,code_gadm,code_govt
FRA001006002016003,Lavoûte-sur-Loire,,Commune,Commune simple,FRA.1.6.2.16.3_1,
FRA001006002016004,Lissac,,Commune,Commune simple,FRA.1.6.2.16.4_1,
FRA001006002016005,Saint-Geneys-près-Saint-Paulien,,Commune,Commune simple,FRA.1.6.2.16.5_1,
FRA001006002016006,Saint-Paulien,,Commune,Chef-lieu canton,FRA.1.6.2.16.6_1,
FRA001006002016007,Saint-Vincent,,Commune,Commune simple,FRA.1.6.2.16.7_1,
FRA001006002017001,Bains,,Commune,Commune simple,FRA.1.6.2.17.1_1,
FRA001006002017002,Cussac-sur-Loire,,Commune,Commune simple,FRA.1.6.2.17.2_1,
FRA001006002017003,Le Brignon,,Commune,Commune simple,FRA.1.6.2.17.3_1,
FRA001006002017004,Saint-Christophe-sur-Dolaison,,Commune,Commune simple,FRA.1.6.2.17.4_1,
FRA001006002017005,Solignac-sur-Loire,,Commune,Chef-lieu canton,FRA.1.6.2.17.5_1,
FRA001006002018001,Beaulieu,,Commune,Commune simple,FRA.1.6.2.18.1_1,
FRA001006002018002,Chamalières-sur-Loire,,Commune,Commune simple,FRA.1.6.2.18.2_1,
FRA001006002018003,Mézères,,Commune,Commune simple,FRA.1.6.2.18.3_1,
FRA001006002018004,Roche-en-Régnier,,Commune,Commune simple,FRA.1.6.2.18.4_1,
FRA001006002018005,Rosières,,Commune,Commune simple,FRA.1.6.2.18.5_1,
FRA001006002018006,Saint-Pierre-du-Champ,,Commune,Commune simple,FRA.1.6.2.18.6_1,
FRA001006002018007,Vorey,,Commune,Chef-lieu canton,FRA.1.6.2.18.7_1,
FRA001006003001001,Aurec-sur-Loire,,Commune,Chef-lieu canton,FRA.1.6.3.1.1_1,
FRA001006003002001,Bas-en-Basset,,Commune,Chef-lieu canton,FRA.1.6.3.2.1_1,
FRA001006003002002,Boisset,,Commune,Commune simple,FRA.1.6.3.2.2_1,
FRA001006003002003,Malvalette,,Commune,Commune simple,FRA.1.6.3.2.3_1,
FRA001006003002004,Saint-Pal-de-Chalencon,,Commune,Commune simple,FRA.1.6.3.2.4_1,
FRA001006003002005,Tiranges,,Commune,Commune simple,FRA.1.6.3.2.5_1,
FRA001006003002006,Valprivas,,Commune,Commune simple,FRA.1.6.3.2.6_1,
FRA001006003003001,Beauzac,,Commune,Commune simple,FRA.1.6.3.3.1_1,
FRA001006003003002,La Chapelle-d'Aurec,,Commune,Commune simple,FRA.1.6.3.3.2_1,
FRA001006003003003,Monistrol-sur-Loire,,Commune,Chef-lieu canton,FRA.1.6.3.3.3_1,
FRA001006003003004,Saint-Maurice-de-Lignon,,Commune,Commune simple,FRA.1.6.3.3.4_1,
FRA001006003004001,Dunières,,Commune,Commune simple,FRA.1.6.3.4.1_1,
FRA001006003004002,Montfaucon-en-Velay,,Commune,Chef-lieu canton,FRA.1.6.3.4.2_1,
FRA001006003004003,Montregard,,Commune,Commune simple,FRA.1.6.3.4.3_1,
FRA001006003004004,Raucoules,,Commune,Commune simple,FRA.1.6.3.4.4_1,
FRA001006003004005,Riotord,,Commune,Commune simple,FRA.1.6.3.4.5_1,
FRA001006003004006,Saint-Bonnet-le-Froid,,Commune,Commune simple,FRA.1.6.3.4.6_1,
FRA001006003004007,Saint-Julien-Molhesabate,,Commune,Commune simple,FRA.1.6.3.4.7_1,
FRA001006003005001,Retournac,,Commune,Chef-lieu canton,FRA.1.6.3.5.1_1,
FRA001006003005002,Saint-André-de-Chalencon,,Commune,Commune simple,FRA.1.6.3.5.2_1,
FRA001006003005003,Solignac-sous-Roche,,Commune,Commune simple,FRA.1.6.3.5.3_1,
FRA001006003006001,La Séauve-sur-Semène,,Commune,Commune simple,FRA.1.6.3.6.1_1,
FRA001006003006002,Pont-Salomon,,Commune,Commune simple,FRA.1.6.3.6.2_1,
FRA001006003006003,Saint-Didier-en-Velay,,Commune,Chef-lieu canton,FRA.1.6.3.6.3_1,
FRA001006003006004,Saint-Ferréol-d'Auroure,,Commune,Commune simple,FRA.1.6.3.6.4_1,
FRA001006003006005,Saint-Just-Malmont,,Commune,Commune simple,FRA.1.6.3.6.5_1,
