admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,date,validOn,validTo
Central African Republic,CF,Sangha-Mbaéré,CF23,Bayanga,CF233,Yobé-Sangha,CF2331,Yobe-Sangha,,,2014-08-02,2015-06-15,
Central African Republic,CF,Sangha-Mbaéré,CF23,Nola,CF231,Nola,CF2311,Nola,,,2014-08-02,2015-06-15,
Central African Republic,CF,Vakaga,CF53,Birao,CF531,Ridina,CF5311,Ridina,,,2014-08-02,2015-06-15,
Central African Republic,CF,Vakaga,CF53,Ouanda-Djallé,CF532,Vokouma,CF5321,Vokouma,,,2014-08-02,2015-06-15,
Central African Republic,CF,Vakaga,CF53,Birao,CF531,Ouandja,CF5312,Ouandja,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bamingui-Bangoran,CF51,Ndélé,CF511,Dar El Kouti,CF5111,Dar El Kouti,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haute-Kotto,CF52,Ouadda,CF522,Ouandja Kotto,CF5222,Ouandja Kotto,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haute-Kotto,CF52,Ouadda,CF522,Ouadda,CF5221,Ouadda,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haut-Mbomou,CF63,Bambouti,CF632,Lili,CF6321,Lili,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Bangassou,CF621,Voungba-Balifondo,CF6213,Voungba-Balifondo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Bangassou,CF621,Sayo Niakari,CF6212,Sayo Niakari,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Gambo,CF623,Ngandou,CF6232,Ngandou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Bangassou,CF621,Bangassou,CF6211,Bangassou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Ouango,CF622,Ouango,CF6221,Ouango,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Ouango,CF622,Ngbandinga,CF6222,Ngbandinga,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,Bimbo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,Boganangone,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Ndjoukou,CF414,Galafondo,CF4141,Galafondo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Ndjoukou,CF414,Galabadja,CF4142,Galabadja,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Ippy,CF435,Ippy,CF4351,Ippy,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,Boali,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Bogangolo,CF113,Bogangolo,CF1131,Bogangolo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Bossembélé,CF115,Bossembélé,CF1151,Bossembele,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Bossembélé,CF115,La Mbi,CF1152,La Mbi,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Yaloké,CF116,Yaloké,CF1161,Yaloke,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,Damara,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Léssé,CF1215,Lesse,,,2014-08-02,2015-06-15,
