admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Choman Guduru,ET041911,,,,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Chora (Buno Bedele),ET041603,,,,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Chora (Jimma),ET040415,,,,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Chuko,ET070417,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Chuko Town,ET070437,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Churso,ET070510,,,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Chwaka,ET041623,,,,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Cobi,ET040592,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dabat,ET030105,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dabat Town,ET030106,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dabo Hana,ET041605,,,,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Daella,ET070436,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dale,ET070404,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dale Sadi,ET041808,,,,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dale Wabera,ET041803,,,,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dalifage,ET020504,,,,Zone 5 (Hari Rasu),ET0205,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Dalocha,ET072005,,,,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dalol,ET020206,,,,Zone 2 (Kilbet Rasu),ET0202,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Damboya,ET070307,,,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Damot Gale,ET070602,,,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Damot Pulasa,ET070611,,,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Damot Sore,ET070609,,,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Damot Weydie,ET070603,,,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Danan,ET050603,,,,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Dangila,ET030901,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dangila Town,ET030998,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dangura,ET060201,,,,Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET,2019-08-19,2019-10-28,
Dano,ET040507,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Danod,ET050701,,,,Doolo,ET0507,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Dara,ET070406,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dara Otilicho,ET070427,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Daramalo,ET071009,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Darara,ET070435,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Daratole,ET050788,,,,Doolo,ET0507,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Darimu,ET040301,,,,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Daro Lebu,ET040909,,,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Daror,ET050392,,,,Jarar,ET0503,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Dasenech (Kuraz),ET070706,,,,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dawe Ketchen,ET041121,,,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dawo,ET041304,,,,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dawunt,ET030311,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Daye Town Administration,ET070432,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Debark,ET030104,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Debark Town,ET030198,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Debati,ET060205,,,,Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET,2019-08-19,2019-10-28,
Debay Telatgen,ET030607,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Debeweyin,ET050504,,,,Korahe,ET0505,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Debre Berhan Town,ET030520,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Debre Elias,ET030608,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Debre Libanos,ET040607,,,,North Shewa,ET0406,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Debre Markos Town,ET030615,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Debre Tabor Town,ET030210,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Debub & Semen Mekele,ET011062,,,,Mekele Special,ET0110,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Debub Achefer,ET030713,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Debub Bench,ET071103,,,,Bench Maji,ET0711,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Debub Mecha,ET030715,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Decha,ET070908,,,,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dechatu,ET150111,,,,Dire Dawa urban,ET1501,Dire Dawa,ET15,Ethiopia,ET,2019-08-19,2019-10-28,
Deder,ET041011,,,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Deder Town,ET041097,,,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dedesa,ET041608,,,,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dedo,ET040410,,,,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dega,ET041604,,,,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dega Damot,ET030707,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dega Temben,ET010604,,,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Degahabur City,ET050307,,,,Jarar,ET0503,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Degehabur,ET050302,,,,Jarar,ET0503,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Degehamedo,ET050301,,,,Jarar,ET0503,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Degeluna Tijo,ET040815,,,,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Degem,ET040605,,,,North Shewa,ET0406,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dehana,ET030803,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dejen,ET030613,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dejen Town,ET030698,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Deka Suftu,ET050991,,,,Liban,ET0509,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Delanta,ET030406,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dembecha,ET030708,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dembel,ET050102,,,,Siti,ET0501,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Denbecha /Town/,ET030717,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Denbi Dollo Town,ET041806,,,,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dendi,ET040510,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Denibu Gofa,ET071502,,,,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dera (Amhara),ET030209,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dera (Oromia),ET040602,,,,North Shewa,ET0406,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Derashe Special,ET072304,,,,Derashe,ET0723,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dessie City Adm.,ET030418,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dessie Zuria,ET030409,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dewa Cheffa,ET031001,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dewa Harewa,ET031005,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Dewe,ET020503,,,,Zone 5 (Hari Rasu),ET0205,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Dhas,ET041220,,,,Borena,ET0412,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Didu,ET040317,,,,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dig,ET050399,,,,Jarar,ET0503,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Diga,ET040210,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Diguna Fango,ET070612,,,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dihun,ET051006,,,,Nogob,ET0510,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Diksis,ET040822,,,,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dila City Admin,ET070507,,,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dila Zuria,ET070505,,,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dilo,ET041219,,,,Borena,ET0412,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dima,ET120205,,,,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET,2019-08-19,2019-10-28,
Dinsho,ET041122,,,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dire,ET041211,,,,Borena,ET0412,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dire Teyara,ET130106,,,,Harari,ET1301,Harari,ET13,Ethiopia,ET,2019-08-19,2019-10-28,
Disa,ET071709,,,,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dita,ET071008,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Doba,ET040902,,,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dodola,ET041707,,,,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dodola Town,ET041700,,,,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dodota,ET040805,,,,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dolo Odo,ET050902,,,,Liban,ET0509,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Dolobay,ET050808,,,,Afder,ET0508,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Dorani,ET040324,,,,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Doya Gena,ET070306,,,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dubluk,ET041291,,,,Borena,ET0412,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dubti,ET020101,,,,Zone 1 (Awsi Rasu),ET0201,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Dubti Town,ET020107,,,,Zone 1 (Awsi Rasu),ET0201,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Dugda,ET040707,,,,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dugda Dawa,ET041515,,,,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dukem,ET042008,,,,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Dulecha,ET020304,,,,Zone 3 (Gabi Rasu),ET0203,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Dune,ET070207,,,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Durame Town,ET070308,,,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
East Belesa,ET031117,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
East Dembia,ET031111,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
East Esite,ET030208,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
East Imi,ET050601,,,,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Ebenat,ET030201,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Eferatana Gidem,ET030508,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Ejere (Addis Alem),ET040511,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Ejersa Lafo,ET040590,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
El-Ogaden,ET050598,,,,Korahe,ET0505,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Ela (Konta) SP Woreda,ET071901,,,,Konta Special,ET0719,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Elale,ET050698,,,,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Elidar,ET020102,,,,Zone 1 (Awsi Rasu),ET0201,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Elkare/Serer,ET050804,,,,Afder,ET0508,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Elwaya,ET041295,,,,Borena,ET0412,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Elwayne,ET051002,,,,Nogob,ET0510,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Emdebir City Admin,ET070116,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Enarj Enawga,ET030605,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Endamehoni,ET010405,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Enderta,ET010602,,,,South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Endiguagn,ET070108,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Enebse Sarmder,ET030604,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Enemay,ET030606,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Enemorina Eaner,ET070111,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Ensaro,ET030503,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Erebti,ET020201,,,,Zone 2 (Kilbet Rasu),ET0202,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Erer (Harari),ET130105,,,,Harari,ET1301,Harari,ET13,Ethiopia,ET,2019-08-19,2019-10-28,
Erer (Somali),ET050104,,,,Siti,ET0501,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Erob,ET010302,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Esira,ET071705,,,,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Ewa,ET020402,,,,Zone 4 (Fantana Rasu),ET0204,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Ezha,ET070103,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Ezo /Kogota/,ET071007,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Fagta Lakoma,ET030905,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Farta,ET030204,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Fedis,ET041005,,,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Fentale,ET040701,,,,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Ferfer,ET050607,,,,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Fiche Town,ET040613,,,,North Shewa,ET0406,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Fik,ET050402,,,,Erer,ET0504,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Filtu,ET050901,,,,Liban,ET0509,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Finote Selam Town,ET030714,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Fogera,ET030203,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Gablalu,ET050199,,,,Siti,ET0501,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Gachit,ET071801,,,,Mirab Omo,ET0718,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gacho Baba,ET071016,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gaji,ET040113,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Galadi,ET050703,,,,Doolo,ET0507,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Galhamur,ET050799,,,,Doolo,ET0507,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Gambela National Park,ET120200,,,,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET,2019-08-19,2019-10-28,
Gambela Town,ET120206,,,,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET,2019-08-19,2019-10-28,
Gambela Zuria,ET120202,,,,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET,2019-08-19,2019-10-28,
Ganta Afeshum,ET010304,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Garbo,ET051003,,,,Nogob,ET0510,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Garda Marta,ET071018,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gasera,ET041106,,,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gashamo,ET050304,,,,Jarar,ET0503,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Gawo Kebe,ET041804,,,,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gaz Gibla,ET030804,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Gazo,ET030312,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Gechi,ET041606,,,,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gedeb,ET070506,,,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gedeb Asasa,ET041706,,,,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gedeb Town,ET070511,,,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gedebano Gutazer Welene,ET070104,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gelana (Finfine),ET042098,,,,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gelana (West Guji),ET041517,,,,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gelealo,ET020305,,,,Zone 3 (Gabi Rasu),ET0203,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Gelila / North Ari,ET070703,,,,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gemechis,ET040912,,,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gena,ET071704,,,,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gendawuha Town,ET031292,,,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Gende Kore,ET150110,,,,Dire Dawa urban,ET1501,Dire Dawa,ET15,Ethiopia,ET,2019-08-19,2019-10-28,
Gera,ET040408,,,,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gerar Jarso,ET040606,,,,North Shewa,ET0406,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gerese,ET071013,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gesha (Deka),ET070902,,,,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gesuba Town,ET070617,,,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Geta,ET070113,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gewane,ET020303,,,,Zone 3 (Gabi Rasu),ET0203,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Gewata,ET070903,,,,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Geze Gofa,ET071505,,,,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gibe,ET070210,,,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gida Ayana,ET040203,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gidami,ET041809,,,,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gidan,ET030303,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Gidi Bench,ET071106,,,,Bench Maji,ET0711,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gimbi,ET040103,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gimbi Town,ET040193,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gimbichu,ET040705,,,,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gimbichu Town,ET070213,,,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Gimbo,ET070904,,,,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Ginde Beret,ET040501,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Ginir,ET041108,,,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Ginir Town,ET041198,,,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Girawa,ET041016,,,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Girja (Harenfema),ET041410,,,,Guji,ET0414,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gishe Rabel,ET030506,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Gnangatom,ET070708,,,,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Goba,ET041110,,,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Goba,ET070912,,,,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Goba Koricha,ET040907,,,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Goba Town,ET041120,,,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Gobu Seyo,ET040208,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
God-God,ET050899,,,,Afder,ET0508,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Gode,ET050604,,,,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Godere,ET120301,,,,Mejenger,ET1203,Gambela,ET12,Ethiopia,ET,2019-08-19,2019-10-28,
Godey City,ET050696,,,,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Gog,ET120203,,,,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET,2019-08-19,2019-10-28,
Goglo,ET050595,,,,Korahe,ET0505,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Goljano,ET050290,,,,Fafan,ET0502,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
