admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Ale,ET040311,,,,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Aleltu,ET040617,,,,North Shewa,ET0406,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Aleme Ketma,ET030599,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Aleta Wendo,ET070405,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Aleta Wondo Town,ET070423,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Alfa,ET031115,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Alge Sachi,ET040302,,,,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Alicho Woriro,ET072001,,,,Siltie,ET0720,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Alle Special,ET071205,,,,Alle,ET0712,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Amaro,ET072102,,,,Amaro,ET0721,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Ambasel,ET030404,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Ambo Town,ET040515,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Ambo Zuria,ET040503,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Ameya,ET041301,,,,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Amibara,ET020301,,,,Zone 3 (Gabi Rasu),ET0203,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Amigna,ET040810,,,,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Amir Nur,ET130107,,,,Harari,ET1301,Harari,ET13,Ethiopia,ET,2019-08-19,2019-10-28,
Amuru,ET041909,,,,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Ana Sora,ET041411,,,,Guji,ET0414,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Analemmo,ET070208,,,,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Anchar,ET040906,,,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Anderacha,ET070802,,,,Sheka,ET0708,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Aneded,ET030617,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Anfilo,ET041807,,,,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Angolelana Tera,ET030513,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Angot,ET030313,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Anigacha,ET070302,,,,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Ankasha,ET030903,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Ankober,ET030515,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Antsokiya,ET030507,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Arada,ET140109,,,,Region 14,ET1401,Addis Ababa,ET14,Ethiopia,ET,2019-08-19,2019-10-28,
Ararso,ET050395,,,,Jarar,ET0503,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Arba Minch Town,ET071021,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Arba Minch Zuria,ET071015,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Arbe Gonna,ET070403,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Areka Town,ET070614,,,,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Areket Town,ET070118,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Arero,ET041208,,,,Borena,ET0412,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
