admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Shabelle,ET0506,,,,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Sheka,ET0708,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Sidama,ET0704,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Siltie,ET0720,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Siti,ET0501,,,,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
South Eastern,ET0106,,,,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
South Gondar,ET0302,,,,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
South Omo,ET0707,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
South Wello,ET0304,,,,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
South West Shewa,ET0413,,,,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Southern,ET0104,,,,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Wag Hamra,ET0308,,,,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
West Arsi,ET0417,,,,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
West Gojam,ET0307,,,,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
West Gondar,ET0312,,,,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
West Guji,ET0415,,,,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
West Hararge,ET0409,,,,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
West Shewa,ET0405,,,,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
West Wellega,ET0401,,,,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Western,ET0105,,,,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Wolayita,ET0706,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Yem Special,ET0724,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Zone 1 (Awsi Rasu),ET0201,,,,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Zone 2 (Kilbet Rasu),ET0202,,,,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Zone 3 (Gabi Rasu),ET0203,,,,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Zone 4 (Fantana Rasu),ET0204,,,,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Zone 5 (Hari Rasu),ET0205,,,,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
