admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo
Jabiet Al Maadin,SD10067,Jabiet Al Maadin,Jabiet Al Maadin,Jabiet Al Maadin,Red Sea,SD10,Sudan,SD,2014-01-01,2015-11-30,
Suakin,SD10068,Suakin,Suakin,Suakin,Red Sea,SD10,Sudan,SD,2014-01-01,2015-11-30,
El Qaneb,SD10069,El Qaneb,El Qaneb,El Qaneb,Red Sea,SD10,Sudan,SD,2014-01-01,2015-11-30,
Haya,SD10070,Haya,Haya,Haya,Red Sea,SD10,Sudan,SD,2014-01-01,2015-11-30,
Agig,SD10072,Agig,Agig,Agig,Red Sea,SD10,Sudan,SD,2014-01-01,2015-11-30,
El Fashaga,SD12075,El Fashaga,El Fashaga,El Fashaga,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
El Quresha,SD12076,El Quresha,El Quresha,Al Quresha,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
Basonda,SD12077,Basonda,Basonda,Basonda,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
Qala El Nahal,SD12079,Qala El Nahal,Qala El Nahal,Qala El Nahal,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
Gedaref,SD12080,Gedaref,Gedaref,Gedaref,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
Middle Gedaref,SD12081,Middle Gedaref,Wasat Gedaref,Middle Gedaref,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
Eastern El Galabat,SD12083,Eastern El Galabat,Sharg El Galabat,Eastern El Galabat,Gedaref,SD12,Sudan,SD,2014-01-01,2015-11-30,
Keilak,SD18085,Keilak,Keilak,Keilak,West Kordofan,SD18,Sudan,SD,2014-01-01,2015-11-30,
Abu Jubaiha,SD07088,Abu Jubaiha,Abu Jubaiha,Abu Jubaiha,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
Talodi,SD07089,Talodi,Talodi,Talodi,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
Umm Durein,SD07091,Umm Durein,Umm Durein,Umm Durein,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
Dilling,SD07095,Dilling,Dilling,Dilling,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
Heiban,SD07096,Heiban,Heiban,Heiban,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
Reif Ashargi,SD07097,Reif Ashargi,Reif Ashargi,Reif Ashargi,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
Kadugli,SD07098,Kadugli,Kadugli,Kadugli,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
Al Buram,SD07099,Al Buram,Al Buram,Al Buram,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
Abyei PCA Area,SD19101,Abyei PCA Area,Abyei PCA Area,Abyei PCA Area,Abyei PCA Area,SD19,Sudan,SD,2014-01-01,2015-11-30,
Lagawa,SD18102,Lagawa,Lagawa,Lagawa,West Kordofan,SD18,Sudan,SD,2014-01-01,2015-11-30,
Habila,SD07103,Habila,Habila,Habila,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
Bau,SD08104,Bau,Bau,Bau,Blue Nile,SD08,Sudan,SD,2014-01-01,2015-11-30,
Al Tadamon,SD08108,Al Tadamon,Al Tadamon,Al Tadamon,Blue Nile,SD08,Sudan,SD,2014-01-01,2015-11-30,
Azum,SD06110,Azum,Azum,Azum,Central Darfur,SD06,Sudan,SD,2014-01-01,2015-11-30,
Beida,SD04111,Beida,Beida,Beida,West Darfur,SD04,Sudan,SD,2014-01-01,2015-11-30,
Bindisi,SD06112,Bindisi,Bindisi,Bindisi,Central Darfur,SD06,Sudan,SD,2014-01-01,2015-11-30,
Dar El Salam,SD02113,Dar El Salam,Dar El Salam,Dar El Salam,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
El Fasher,SD02114,El Fasher,El Fasher,El Fasher,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
El Geneina,SD04115,El Geneina,El Geneina,El Geneina,West Darfur,SD04,Sudan,SD,2014-01-01,2015-11-30,
El Kuma,SD02116,El Kuma,El Kuma,El Kuma,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
El Malha,SD02117,El Malha,El Malha,El Malha,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
El Sireaf,SD02118,El Sireaf,El Sireaf,El Sireaf,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
El Taweisha,SD02119,El Taweisha,El Taweisha,El Taweisha,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
Foro Baranga,SD04121,Foro Baranga,Foro Baranga,Foro Baranga,West Darfur,SD04,Sudan,SD,2014-01-01,2015-11-30,
Habila,SD04122,Habila,Habila,Habila,West Darfur,SD04,Sudan,SD,2014-01-01,2015-11-30,
Jebel Moon,SD04123,Jebel Moon,Heiban,Jebel Moon,West Darfur,SD04,Sudan,SD,2014-01-01,2015-11-30,
Kebkabiya,SD02124,Kebkabiya,Kebkabiya,Kebkabiya,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
Kreinik,SD04125,Kreinik,Kreinik,Kreinik,West Darfur,SD04,Sudan,SD,2014-01-01,2015-11-30,
Kalimendo,SD02126,Kalimendo,Kalimendo,Kalimendo,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
Kulbus,SD04127,Kulbus,Kulbus,Kulbus,West Darfur,SD04,Sudan,SD,2014-01-01,2015-11-30,
Kutum,SD02128,Kutum,Kutum,Kutum,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
Mellit,SD02129,Mellit,Mellit,Mellit,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
Mukjar,SD06130,Mukjar,Mukjar,Mukjar,Central Darfur,SD06,Sudan,SD,2014-01-01,2015-11-30,
Nertiti,SD06131,Nertiti,Nertiti,Nertiti,Central Darfur,SD06,Sudan,SD,2014-01-01,2015-11-30,
Rokoro,SD06132,Rokoro,Rokoro,Rokoro,Central Darfur,SD06,Sudan,SD,2014-01-01,2015-11-30,
Saraf Omra,SD02133,Saraf Omra,Saraf Omra,Saraf Omra,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
Sirba,SD04134,Sirba,Sirba,Sirba,West Darfur,SD04,Sudan,SD,2014-01-01,2015-11-30,
Umm Keddada,SD02136,Umm Keddada,Umm Keddada,Umm Keddada,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
Wadi Salih,SD06137,Wadi Salih,Wadi Salih,Wadi Salih,Central Darfur,SD06,Sudan,SD,2014-01-01,2015-11-30,
Zalingei,SD06138,Zalingei,Zalingei,Zalingei,Central Darfur,SD06,Sudan,SD,2014-01-01,2015-11-30,
Ed Daein,SD05142,Ed Daein,Ed Daein,Ed Daein,East Darfur,SD05,Sudan,SD,2014-01-01,2015-11-30,
Ed El Fursan,SD03143,Ed El Fursan,Ed El Fursan,Ed El Fursan,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Kass,SD03144,Kass,Kass,Kass,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Sharg Jabel Marra,SD03147,Sharg Jabel Marra,Sharg Jabel Marra,Sharg Jabel Marra,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Alwehda,SD03150,Alwehda,Alwehda,Alwehda,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Niteaga,SD03151,Niteaga,Niteaga,Niteaga,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Gereida,SD03153,Gereida,Gereida,Gereida,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Shattai,SD03154,Shattai,Shattai,Shattai,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Abu Karinka,SD05155,Abu Karinka,Abu Karinka,Abu Karinka,East Darfur,SD05,Sudan,SD,2014-01-01,2015-11-30,
Kubum,SD03157,Kubum,Kubum,Kubum,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Katayla,SD03159,Katayla,Katayla,Katayla,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Bahr El Arab,SD05160,Bahr El Arab,Bahr El Arab,Bahr El Arab,East Darfur,SD05,Sudan,SD,2014-01-01,2015-11-30,
Bielel,SD03162,Bielel,Bielel,Bielel,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Assalaya,SD05163,Assalaya,Assalaya,Assalaya,East Darfur,SD05,Sudan,SD,2014-01-01,2015-11-30,
Nyala North,SD03164,Nyala North,Nyala North,Nyala North,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Yassin,SD05165,Yassin,Yassin,Yassin,East Darfur,SD05,Sudan,SD,2014-01-01,2015-11-30,
El Salam,SD03166,El Salam,El Salam,El Salam,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Nyala,SD03167,Nyala,Nyala,Nyala,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Kornoi,SD02168,Kornoi,Kornoi,Kornoi,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
Ailliet,SD02169,Ailliet,Ailliet,Ailliet,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
