Admin1,Admn1code,Admin0,Admin0code
Anseba,ER4,Eritrea,ER
Debub,ER6,Eritrea,ER
Debubawi Keih Bahri,ER1,Eritrea,ER
Gash Barka,ER5,Eritrea,ER
Maekel,ER2,Eritrea,ER
Semienawi Keih Bahri,ER3,Eritrea,ER
